"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"Life",9,9,1994,1994,2011
"75 years",18,18,2015,2015,2015
"1 year",0,2,2013,2015,2015
"15 to life",17,17,2021,2021,2021
"8 to 16 years",6,8,2020,2022,2022
"12 years and 6 months",2,2,2019,2019,2019
"28 years",10,14,2001,2005,2011
"Life",31,31,2021,2021,2021
"70 years",18,18,2018,2018,2018
"50 years",1,1,2018,2018,2018
"Life",6,6,2002,2003,2011
"3 years",1,1,2013,2013,2014
"Life without parole",21,22,2017,2017,2017
"23 years",15,17,2022,2023,2023
"13 years",6,6,2019,2019,2020
"Death",22,23,2008,2009,2011
"Fine",0,7,2002,2009,2011
"Life without parole",12,17,2010,2014,2014
"33 to Life",18,18,2010,2010,2012
"35 years",5,5,1989,1989,2011
"Life without parole",25,25,2020,2020,2021
"6 years",2,14,2009,2021,2021
"80 years",21,21,2016,2016,2016
"Life",10,10,2013,2013,2013
"Death",26,26,2020,2021,2021
"35 to Life",23,24,2021,2021,2022
"Death",15,15,2003,2003,2011
"Death",26,26,2003,2003,2011
"Life without parole",39,39,2023,2023,2023
"25 to 50 years",6,6,2023,2023,2023
"Life",10,10,1995,1995,2011
"Life",21,21,2021,2021,2021
"Death",25,25,1993,1993,2011
"Death",31,41,2013,2023,2023
"25 years",8,9,2012,2013,2013
"Life",0,0,2007,2007,2013
"16 years and 11 months",3,3,2004,2004,2017
"3 years",0,0,2014,2014,2014
"Probation",0,10,2008,2018,2018
"Life",17,18,2003,2004,2011
"40 years",0,2,1987,1990,2023
"Probation",0,4,1993,1998,2011
"Not sentenced",0,0,1991,1991,2012
"Life",6,6,2022,2022,2023
"Life without parole",8,8,2008,2008,2012
"10 to 25 years",3,6,1998,2001,2018
"4 days",0,0,2017,2017,2018
"Life",12,16,2011,2014,2014
"Life",17,17,2019,2019,2019
"10 days",0,1,2018,2019,2019
"25 years",10,19,1996,2005,2017
"7 years and 6 months",2,2,2017,2018,2018
"35 years",15,24,2010,2019,2019
"Probation",0,1,2000,2002,2019
"25 to 50 years",13,13,2022,2022,2022
"Life",20,20,2021,2021,2022
"Not sentenced",0,0,2017,2017,2018
"50 years",19,19,2009,2009,2011
"3 years",1,1,2018,2018,2019
"25 to Life",25,25,2022,2022,2022
"50 years",21,21,2020,2020,2020
"1 year",0,16,2006,2022,2022
"3 days",0,0,2018,2019,2019
"3 years",3,11,2007,2015,2015
"3 months",0,3,2015,2018,2018
"10 years",9,19,2000,2010,2012
"8 to 20 years",12,30,2002,2020,2021
"Life",20,55,1987,2021,2021
"90 days",0,0,2013,2013,2014
"3 years",1,16,2007,2022,2022
"35 to Life",10,10,2021,2021,2021
"1 year",0,11,2006,2017,2018
"30 to life",26,27,2018,2019,2019
"20 years",3,3,2003,2003,2022
"4 years",3,8,2006,2011,2012
"13 years",7,8,2018,2018,2019
"50 years",19,19,2022,2022,2022
"6 years and 4 months",5,5,2001,2001,2011
"25 to life",20,20,2018,2018,2018
"21 months",1,1,2010,2010,2022
"45 years",18,18,2018,2018,2018
"Not sentenced",1,1,2019,2019,2019
"Life",26,28,2010,2012,2012
"5 years and 9 months",5,5,2009,2009,2017
"Life without parole",1,1,1999,2000,2011
"Death",39,39,2014,2014,2014
"1 year and 3 months",0,0,2015,2015,2017
"40 years",16,16,2006,2006,2011
"25 to Life",7,13,1988,1994,2011
"29 years",7,40,1980,2012,2016
"8 years",2,2,1993,1993,2011
"90 days",0,7,2009,2016,2016
"Life",30,31,2020,2021,2021
"6 months",1,38,1985,2022,2022
"Not sentenced",5,6,2013,2014,2014
"Not sentenced",0,4,2019,2023,2023
"Life",28,31,2019,2022,2022
"40 years",18,24,2012,2018,2018
"Probation",0,3,1995,1999,2014
"Death",26,26,2003,2003,2011
"Life without parole",29,29,2011,2011,2012
"1 1/2 to 3 years",2,2,1992,1992,2013
"25 years",2,2,2016,2016,2023
"1 year",1,13,2005,2017,2018
"6 years",0,11,2010,2020,2021
"25 to Life",31,31,2022,2022,2022
"53 days",0,1,2018,2019,2019
"Death",19,19,2005,2005,2011
"60 years",7,8,2022,2023,2023
"35 years",18,19,2011,2011,2011
"2 years",1,10,1994,2003,2013
"Life",8,8,1991,1991,2011
"5 years",4,7,2017,2019,2022
"34 years",5,26,1983,2003,2011
"3 years and 6 months",1,11,2008,2018,2018
"4 years",2,12,2008,2017,2018
"25 years",4,4,2022,2022,2022
"8 months",0,3,2010,2013,2023
"Life",22,25,2010,2013,2013
"Probation",0,3,2015,2019,2019
"100 years",23,23,2018,2018,2018
"Life without parole",16,16,2021,2021,2022
"18 to life",19,25,2007,2014,2014
"25 years",8,8,2018,2018,2018
"40 to life",6,7,2016,2017,2017
"14 years",6,6,2008,2008,2011
"30 to life",24,25,2020,2020,2020
"22 to Life",15,15,2022,2023,2023
"Life",15,17,2021,2023,2023
"50 years",14,14,2009,2009,2011
"Life",26,28,2018,2020,2020
"Death",10,10,1996,1996,2011
"2 years",0,1,2016,2017,2017
"24 years",9,9,2002,2002,2011
"15 years",3,5,2021,2023,2023
"Life",23,23,2013,2013,2013
"Life",20,24,2007,2010,2011
"47 years",6,7,2014,2014,2015
"Not sentenced",0,0,2019,2020,2020
"Life",12,13,2008,2009,2012
"55 years",14,14,2008,2008,2011
"38 years",8,8,2015,2015,2015
"80 years",9,9,2018,2018,2019
"Life without parole",18,19,2016,2017,2017
"Probation",0,17,2005,2022,2023
"180 days",0,11,2013,2024,2024
"70 years",0,0,1997,1997,2014
"25 years",11,27,2004,2019,2020
"1 year",0,16,2005,2022,2022
"18 to 20 years",3,4,1999,2000,2011
"90 days",0,6,2010,2016,2016
"Probation",0,2,2009,2011,2022
"18 to life",19,20,2015,2016,2016
"50 to Life",21,21,2021,2021,2021
"Life",29,29,2018,2018,2018
"Death",19,19,2023,2023,2023
"2 years",0,4,2012,2016,2016
"75 years",12,12,2013,2013,2013
"3 years and 6 months",0,1,2021,2023,2023
"Life",15,15,1999,1999,2011
"30 years",11,12,2002,2004,2011
"Life without parole",18,18,2018,2018,2018
"Death",0,13,2007,2020,2020
"24 2/3 to 30 5/12 years",12,12,2023,2023,2023
"Life",11,11,2017,2017,2017
"Life without parole",27,27,2023,2023,2023
"Life",17,17,2002,2002,2011
"35 years",8,8,2015,2015,2015
"40 years",6,6,2014,2014,2014
"50 years",10,13,2013,2015,2015
"Not sentenced",1,5,2015,2018,2018
"Community service",0,5,2011,2017,2020
"5 years",3,3,2013,2013,2013
"15 to Life",9,9,1993,1993,2014
"36 years",2,3,1995,1996,2011
"Life without parole",25,25,2008,2008,2011
"2 1/2 years to 5 years",1,11,1982,1992,2021
"Death",23,23,2020,2020,2021
"Life without parole",32,32,2024,2024,2024
"15 to 25 years",14,14,2022,2022,2022
"1 year and 6 months",1,6,2013,2018,2019
"3 years",0,17,2005,2022,2022
"43 years",2,2,2005,2005,2013
"Life without parole",17,17,2012,2012,2012
"Life",28,28,2013,2013,2013
"Probation",0,12,2008,2021,2021
"30 to 60 years",14,14,2023,2023,2023
"6 years",1,10,2009,2019,2019
"25 to life",14,15,2017,2018,2018
"Death",6,6,1990,1990,2011
"1 year",0,1,2017,2018,2018
"30 years",18,22,2017,2021,2021
"9 months",0,2,2016,2018,2018
"4 years",1,14,2010,2022,2022
"18 to life",29,35,2010,2016,2016
"Life without parole",31,32,2017,2019,2019
"36 to Life",8,8,2004,2004,2011
"30 days",0,0,2016,2016,2016
"6 to Life",3,4,2014,2015,2019
"Life",18,18,2013,2014,2014
"Life without parole",7,7,2014,2014,2014
"7 years",4,30,1997,2023,2023
"18 months",0,18,2004,2023,2023
"Not sentenced",0,1,2001,2002,2016
"2 years",1,1,2011,2011,2013
"8 months",0,7,2009,2016,2016
"Life",5,5,1992,1992,2011
"8 years",1,1,1999,1999,2021
"27 years",17,17,2016,2016,2016
"37 1/2 to Life",17,17,2016,2016,2016
"Death",14,14,2008,2008,2011
"37 years",4,4,2007,2007,2011
"Life without parole",5,5,2006,2006,2014
"Life",25,25,2017,2018,2018
"Life without parole",5,5,1989,1989,2013
"Probation",0,6,2009,2015,2015
"9 to 30 years",22,22,2019,2019,2019
"3 years",1,7,2016,2022,2023
"Life",14,46,1990,2022,2023
"15 years",2,3,2001,2001,2011
"19 years",16,16,2017,2017,2017
"Life without parole",19,20,2015,2017,2017
"Death",9,9,1999,1999,2011
"20 years",12,12,2010,2010,2012
"Death",14,14,1996,1996,2011
"Life",10,10,2010,2010,2011
"60 days",0,10,2008,2018,2018
"Life",44,45,2017,2018,2018
"20 years",3,4,2017,2018,2022
"2 years",0,3,2016,2019,2019
"4 years",1,2,2018,2019,2019
"8 years",2,6,2018,2022,2023
"23 years",8,12,2011,2015,2016
"6 months",0,0,2008,2009,2014
"Probation",0,0,2009,2009,2015
"6 months",0,5,2013,2019,2019
"25 to 40 years",4,4,2014,2014,2014
"Not sentenced",0,0,2010,2010,2011
"15 to Life",3,3,2001,2001,2013
"15 years",3,7,2006,2010,2015
"Life without parole",26,26,2022,2022,2022
"12 to 15 years",9,9,2011,2011,2011
"Life",17,31,2009,2023,2023
"Life",20,21,2009,2010,2013
"Life",8,8,2005,2005,2011
"15 years",2,2,2007,2007,2013
"5 to 15 years",2,2,2004,2004,2013
"6 months",0,15,2005,2020,2020
"Not sentenced",3,3,2016,2016,2016
"3 years",1,3,2013,2015,2017
"Life",3,3,1996,1997,2014
"Life",1,4,1994,1998,2013
"48 years",21,24,2013,2017,2017
"48 years",21,24,2013,2017,2017
"Life",21,22,2017,2018,2018
"25 years",3,5,2017,2019,2019
"1 year",1,3,2001,2003,2022
"Life",2,2,1993,1993,2013
"Probation",0,3,2000,2003,2022
"10 to 20 years",2,2,1993,1993,2011
"Life",3,5,1995,1997,2011
"25 years",22,22,2024,2024,2024
"25 to life",25,25,2020,2020,2020
"15 years",9,9,2012,2012,2012
"Not sentenced",0,5,2009,2014,2014
"Probation",0,18,2004,2022,2022
"60 years",14,14,2009,2009,2011
"Life",7,7,2020,2020,2020
"7 to 14 years",9,9,2008,2008,2012
"Life without parole",22,22,2019,2019,2019
"5 months",0,2,2010,2012,2015
"32 to Life",16,16,2002,2002,2011
"Death",3,3,2002,2002,2011
"Life",4,4,1990,1990,2011
"70 to Life",2,2,2003,2003,2011
"15 to life",22,22,2017,2017,2017
"1 year and 4 months",0,15,2007,2022,2022
"10 years",4,6,2012,2014,2014
"18 to 44 years",1,1,1992,1992,2011
"1 year",1,8,2015,2022,2022
"Life without parole",9,9,2023,2023,2023
"55 years",5,7,2006,2007,2011
"3 1/2 to 7 years",2,3,2005,2006,2011
"Death",18,18,2009,2009,2011
"Probation",0,5,2013,2018,2019
"10 years",6,6,2007,2007,2011
"35 years",2,2,2002,2002,2011
"90 days",0,2,2020,2022,2023
"10 years",1,3,2001,2003,2022
"Not sentenced",0,5,1997,2002,2016
"Life without parole",22,22,2021,2021,2021
"Life",22,22,2012,2012,2012
"Life",11,12,1991,1991,2011
"Not sentenced",1,2,2018,2020,2020
"20 to 22 years and 4 months",12,12,1996,1996,2011
"20 to 22 years and 4 months",12,12,1996,1996,2011
"30 years",11,11,2001,2001,2013
"18 to Life",12,24,2009,2022,2023
"13 to 39 years",2,2,1992,1992,2013
"33 years and 4 months",17,19,2003,2005,2011
"8 years",1,2,2018,2020,2020
"9 years",2,2,2012,2012,2017
"30 years",0,13,1990,2003,2011
"25 to 50 years",10,10,1992,1992,2011
"5 years",1,1,2004,2004,2011
"10 years and 6 months",10,20,2006,2017,2017
"25 to life",23,25,2020,2023,2023
"Death",9,9,2002,2002,2011
"3 to 10 years",3,4,2019,2020,2021
"30 days",0,9,2006,2016,2016
"Life without parole",3,3,2001,2001,2014
"Life without parole",24,25,2019,2019,2019
"30 years",23,23,2023,2023,2023
"Life without parole",24,25,2022,2022,2022
"Death",13,13,1998,1998,2011
"Life",8,8,2006,2006,2011
"3 to 6 years",4,4,1994,1994,2014
"Life",4,4,2001,2001,2011
"8 years",3,3,2007,2007,2011
"15 to 25 years",21,25,2014,2019,2019
"7 years",4,5,2022,2023,2023
"6 months",0,11,2009,2020,2020
"2 years",1,1,2010,2010,2018
"Life",19,19,2013,2013,2013
"Life",16,21,1994,1998,2011
"30 days",0,0,2015,2016,2016
"5 to life",7,10,2014,2017,2017
"60 years",0,0,1995,1995,2011
"20 years",8,8,2021,2021,2022
"20 to Life",2,2,1996,1996,2011
"25 years",0,0,2013,2013,2013
"Life",19,44,1997,2021,2021
"Life without parole",22,23,2015,2015,2015
"Probation",0,2,1997,2000,2021
"32 years and 6 months",8,8,1999,1999,2011
"Life without parole",16,19,2003,2006,2014
"Life",5,5,2019,2019,2019
"28 to life",13,14,2013,2014,2014
"2 years and 5 months",1,6,2009,2015,2018
"20 years",3,4,2013,2013,2013
"50 years",11,12,2001,2002,2016
"50 years",11,12,2001,2002,2016
"8 months and 10 days",0,3,2019,2022,2022
"Life",14,15,2003,2004,2011
"Life",15,15,2000,2000,2011
"Life",5,5,2005,2005,2013
"100 years",23,23,2018,2018,2018
"75 to life",2,2,2017,2018,2018
"Death",6,6,1996,1996,2011
"Life",8,8,2014,2014,2014
"14 to 28 years",1,8,2011,2018,2023
"72 years",6,6,1997,1997,2016
"Life",12,12,2023,2023,2023
"Probation",0,16,1991,2007,2012
"16 to life",9,9,2009,2009,2013
"60 years",2,13,2011,2022,2023
"4 years",1,14,2009,2022,2022
"1 year and 6 months",0,2,2011,2012,2012
"Probation",0,24,1992,2016,2016
"Life",6,7,2016,2017,2017
"10 days",0,0,2014,2014,2015
"20 years",0,3,2005,2008,2022
"Life",15,15,2004,2004,2014
"Life without parole",23,25,2014,2015,2015
"Death",27,27,2015,2015,2016
"8 years",2,2,2010,2010,2011
"Life",21,21,2017,2018,2018
"15 to 30 years",3,3,2010,2010,2011
"Life",20,21,2010,2011,2011
"Life without parole",18,18,2020,2020,2020
"15 years",0,0,1998,1998,2012
"20 years",11,11,2002,2002,2011
"21 to life",17,19,2012,2014,2014
"25 to Life",12,14,2005,2007,2011
"8 years and 6 months",3,4,2021,2022,2022
"2 years and 10 months",0,6,2009,2016,2017
"21 days",0,0,2015,2015,2015
"5 years",1,1,1996,1996,2014
"Life",26,26,2016,2016,2016
"3 years",0,0,1994,1994,2011
"5 to 10 years",15,15,1996,1996,2014
"10 to 25 years",8,8,1995,1995,2018
"Probation",0,1,2013,2014,2014
"20 years to Life",30,32,2021,2023,2023
"Not sentenced",0,1,2019,2021,2021
"5 years",3,3,2017,2017,2018
"7 years and 8 months",1,5,2001,2005,2012
"6 years and 6 months",2,13,2007,2019,2019
"2 years",0,17,2005,2022,2022
"12 years and 8 months",3,3,1991,1991,2014
"Not sentenced",0,1,2019,2021,2021
"5 years",3,12,2008,2017,2018
"8 years",5,6,2002,2004,2011
"10 to 25 years",2,2,2017,2018,2018
"Not sentenced",3,3,2007,2007,2020
"120 years",18,20,2014,2015,2015
"1 year and 6 months",0,16,2006,2022,2022
"Life without parole",19,19,2019,2019,2019
"Life",11,13,2015,2016,2018
"65 years",14,14,2018,2019,2019
"48 days",0,4,2008,2012,2012
"Death",32,32,2001,2001,2011
"Probation",0,2,2018,2020,2020
"30 to life",2,2,2005,2005,2014
"Life",25,26,2008,2009,2011
"2 years",0,8,2010,2019,2019
"12 1/2 to 25 years",11,12,2001,2001,2013
"99 years",2,4,2010,2012,2013
"40 years",3,10,1985,1992,2011
"5 years",2,16,2007,2022,2022
"16 to Life",23,23,2009,2009,2011
"Probation",0,3,2009,2013,2015
"Life",2,2,2019,2019,2021
"Life",13,13,2020,2020,2020
"20 to Life",3,3,1991,1991,2014
"20 to Life",31,35,2019,2023,2023
"5 years and 2 months",1,4,2017,2021,2022
"Life",17,17,2002,2002,2011
"25 to 50 years",9,10,2020,2021,2021
"40 to 100 years",15,15,2017,2017,2018
"1 year",1,3,1997,2000,2021
"Not sentenced",0,1,1998,2000,2011
"Probation",0,13,2005,2019,2021
"17 years",1,1,2010,2010,2013
"5 years",1,3,1999,2000,2012
"Life",25,26,2008,2008,2011
"Probation",0,0,2020,2020,2022
"45 years",18,22,2019,2023,2023
"25 to life",15,15,2014,2014,2014
"Probation",0,14,2003,2018,2018
"Life",38,45,2006,2014,2014
"3 1/2 to 7 years",0,0,2008,2008,2011
"20 years",20,25,2014,2019,2019
"15 to life",7,15,2013,2021,2021
"8 to 24 years",7,7,2002,2002,2011
"Life",43,43,2020,2020,2020
"25 years",8,8,2013,2013,2014
"13 years",1,1,2001,2002,2012
"1 1/2 years to 4 1/2 years",2,31,1993,2022,2022
"25 to life",22,23,2013,2014,2014
"3 years",3,8,2007,2012,2016
"Life",30,35,2018,2023,2023
"60 years",24,24,2020,2020,2020
"210 days",0,8,2007,2015,2015
"Life",16,18,1998,2001,2011
"361 years",3,3,2003,2003,2022
"Life",4,4,1993,1994,2011
"15 years",9,9,2000,2000,2023
"11 to Life",9,21,1991,2003,2011
"6 months",0,0,2014,2015,2015
"1 year and 4 months",1,2,1998,2000,2021
"4 years",2,2,2019,2019,2019
"Life",25,25,2017,2018,2018
"Life without parole",26,26,2021,2021,2021
"Probation",0,6,2010,2016,2016
"4 years",8,18,2013,2023,2023
"24 to life",1,1,1989,1989,2013
"Probation",0,0,2014,2014,2014
"Unknown",1,1,1992,1992,2011
"Life",7,8,2023,2023,2023
"25 to life",23,25,2022,2024,2024
"30 days",0,1,2019,2020,2021
"Life",12,12,2007,2007,2011
"Not sentenced",2,2,2004,2004,2011
"6 years",2,18,1991,2007,2011
"2 years",0,0,2014,2014,2014
"Death",8,8,1993,1993,2011
"7 1/2 to 15 years",6,47,1982,2023,2023
"6 months",0,0,2006,2006,2012
"7 years",2,3,2019,2020,2020
"10 years",5,6,2020,2021,2021
"1 year",0,18,2003,2022,2022
"50 years",30,30,2021,2021,2022
"1 year and 4 months",1,2,1998,2000,2021
"53 to Life",7,7,2009,2009,2011
"3 years",2,4,2006,2007,2016
"25 to Life",5,5,2006,2006,2011
"2 years",0,8,2009,2018,2018
"35 years",11,12,1997,1998,2011
"Life without parole",11,12,1997,1998,2011
"Life",18,18,2003,2003,2011
"Bad conduct discharge",3,3,2003,2003,2012
"120 days",0,1,2012,2014,2014
"Life without parole",0,12,1992,2005,2019
"90 1/2  to life",20,20,2020,2020,2020
"8 to 16 years",6,6,2004,2004,2013
"10 years",4,4,2017,2017,2017
"25 to Life",25,25,2022,2022,2022
"4 years",0,9,2009,2018,2018
"8 years",3,9,2014,2020,2020
"10 months",0,11,2009,2021,2021
"2 to 6 years",3,5,1993,1994,2014
"Life without parole",20,20,2023,2023,2023
"Probation",0,3,2014,2017,2017
"Life",8,8,1998,1998,2011
"Death",18,18,2015,2015,2015
"3 months",0,22,1993,2016,2018
"10 to 20 years",10,10,2006,2006,2020
"4 years",1,14,2008,2020,2021
"5 years",13,14,2016,2017,2017
"8 to 10 years",5,5,2016,2016,2016
"Not sentenced",0,2,2017,2019,2020
"3 to 20 years",4,5,2011,2013,2013
"6 years and 10 months",4,6,2022,2024,2024
"15 to Life",20,20,2004,2004,2011
"Probation",0,3,2000,2003,2022
"25 to 50 years",7,7,1997,1997,2024
"4 years",1,1,2009,2009,2011
"Life",5,5,1996,1996,2011
"30 days",0,1,2013,2015,2015
"Probation",0,18,2004,2022,2022
"15 to Life",25,30,2009,2014,2014
"25 to Life",19,21,2017,2020,2021
"30 days",0,2,2008,2010,2014
"3 years",5,5,2018,2019,2020
"Life without parole",6,6,2016,2016,2016
"3 years and 6 months",1,11,2008,2018,2018
"40 years and 8 months",11,11,2019,2019,2019
"25 to Life",15,15,2002,2002,2011
"Life",30,30,2020,2020,2020
"20 years",3,3,2001,2001,2017
"Death",4,4,2001,2001,2011
"25 years",21,21,2023,2023,2023
"25 to life",6,6,2014,2014,2018
"Life without parole",15,15,1999,1999,2014
"10 to 20 years",6,8,1994,1995,2013
"11 1/2 to 15 1/4 years",10,10,2010,2010,2011
"Life",0,34,1980,2014,2014
"2 years",1,3,2021,2023,2024
"Life",8,8,2008,2008,2011
"58 years",6,6,2017,2017,2017
"5 years",4,4,2003,2003,2022
"2 years",0,0,2011,2011,2019
"10 days",0,0,2015,2016,2016
"180 days",0,9,2014,2023,2023
"6 years",0,3,2013,2017,2017
"6 months",0,6,2014,2020,2020
"Life without parole",0,28,1990,2018,2020
"3 years and 10 months",2,6,2013,2017,2019
"20 years",6,22,2000,2016,2016
"Death",5,5,2004,2004,2011
"35 years",2,4,2010,2012,2013
"Life without parole",22,22,2016,2016,2016
"Life without parole",34,34,2018,2018,2018
"1 year",0,13,2006,2020,2020
"80 years",19,19,2001,2001,2011
"Probation",0,6,2009,2016,2016
"15 years",15,18,2013,2016,2016
"25 to Life",21,22,2023,2023,2023
"2 years and 6 months",1,13,2007,2020,2020
"3 years",1,19,2004,2022,2022
"2 years",0,17,2005,2022,2022
"Life without parole",22,22,2017,2017,2017
"Probation",0,4,2012,2016,2016
"Life without parole",47,47,2020,2021,2021
"35 years",28,28,2015,2015,2015
"Not sentenced",0,2,2017,2019,2019
"20 years and 10 months",5,5,2017,2018,2018
"Probation",0,7,2004,2011,2012
"Not sentenced",0,3,2010,2014,2014
"20 years",2,3,2009,2009,2011
"Life",15,15,2021,2021,2021
"25 to life",27,27,2014,2014,2014
"6 months",0,4,1993,1997,2021
"1 year and 8 months",0,2,2015,2017,2017
"15 days",0,0,2015,2016,2016
"Death",21,21,2007,2007,2011
"12 years",2,2,1999,1999,2011
"18 to life",10,10,2006,2006,2013
"Life",2,7,2003,2008,2014
"25 years",2,7,2013,2018,2018
"15 to Life",16,16,2008,2008,2011
"25 to life",26,27,2023,2023,2023
"Life",1,1,2007,2007,2011
"Death",29,29,2014,2014,2014
"25 to life",6,6,1994,1994,2015
"Death",16,20,2003,2007,2011
"Death",4,4,2017,2017,2017
"Life without parole",2,2,2019,2019,2019
"55 years",18,18,2017,2017,2017
"Life",3,11,1987,1995,2013
"5 to 10 years",5,12,1996,2002,2011
"43 years",0,0,1994,1994,2011
"3 years",1,3,2001,2003,2022
"Death",0,3,1993,1997,2011
"20 to 22 years and 4 months",12,12,1996,1996,2011
"20 to 22 years and 4 months",12,12,1996,1996,2011
"Life",3,3,2016,2016,2016
"20 years",8,8,1998,1998,2018
"Probation",0,11,2000,2011,2013
"12 years",7,7,2018,2018,2018
"3 years",1,1,2000,2000,2016
"10 to 25 years",2,3,2022,2023,2023
"9 months",0,8,2008,2016,2016
"Probation",0,13,2005,2018,2018
"22 to Life",17,31,2009,2023,2023
"30 to Life",4,4,2019,2019,2020
"Life",1,1,2004,2004,2011
"Life",4,4,1998,1998,2015
"Life",12,12,2002,2002,2011
"4 years and 6 months",3,4,1994,1995,2011
"30 days",0,0,2015,2015,2015
"Life",25,32,2003,2011,2013
"7 months",0,10,2014,2023,2024
"Life",22,22,2008,2008,2011
"10 years",8,8,2019,2019,2020
"16 to 27 years",3,3,2017,2017,2017
"Life",26,26,2015,2015,2015
"45 years",12,12,2016,2016,2016
"Life",23,23,2017,2017,2017
"60 days",0,1,1991,1992,2014
"12 years",1,1,2015,2015,2015
"Life",29,30,2018,2019,2019
"24 to life",20,20,2018,2018,2018
"6 months",0,7,2009,2016,2016
"Life",19,19,2003,2004,2014
"Life",18,19,2000,2000,2011
"100 years",31,31,2009,2009,2011
"29 years",7,40,1980,2012,2016
"13 years",4,4,2002,2002,2013
"Not sentenced",0,4,1996,2000,2011
"Not sentenced",2,2,1998,1998,2011
"Unknown",2,2,2010,2010,2022
"Probation",0,1,2000,2001,2014
"Life",21,21,2002,2002,2011
"Death",4,4,1993,1993,2011
"Life",14,14,2000,2000,2013
"9 years",6,8,2015,2017,2018
"11 years and 8 months",5,11,1990,1996,2013
"90 days",0,2,2008,2011,2013
"Life",23,23,2019,2019,2019
"48 years",13,13,2001,2001,2011
"20 years",21,28,2015,2022,2023
"Life",3,3,1995,1995,2011
"Death",17,17,2002,2002,2011
"Not sentenced",0,0,2014,2014,2014
"Life without parole",16,16,2014,2014,2014
"3 years",2,2,2000,2000,2021
"6 months",0,0,2014,2014,2015
"35 years",15,29,2009,2023,2023
"12 years",5,5,2001,2001,2012
"Probation",0,2,1990,1993,2014
"Probation",0,4,2002,2006,2019
"21 to 41 years",10,10,2003,2003,2011
"Life",4,4,1995,1995,2011
"30 years",20,22,2022,2024,2024
"18 to 24 years",1,1,2012,2012,2017
"11 years",3,4,2011,2013,2018
"Life without parole",15,17,2008,2010,2011
"47 years",4,6,1993,1994,2012
"Probation",0,0,2016,2016,2016
"25 to Life",7,7,1992,1992,2011
"60 years",14,16,2009,2012,2012
"Death",22,24,2013,2015,2015
"Life without parole",11,12,2014,2015,2016
"10 years",5,5,2020,2020,2021
"25 years",16,16,1989,1989,2012
"Life",22,22,2006,2006,2011
"40 years",16,16,2018,2018,2018
"30 years",16,16,2023,2023,2023
"Life",4,5,1990,1991,2011
"5 to Life",3,3,2007,2007,2011
"45 years",23,24,2006,2007,2011
"2 years",1,2,2013,2014,2014
"Life",4,4,1993,1994,2011
"Life without parole",20,20,2019,2019,2019
"Life",4,4,2014,2014,2014
"32 years",12,13,1996,1997,2011
"Death",9,28,1998,2017,2011
"Life",1,1,2007,2007,2013
"20 to 40 years",8,8,1992,1992,2011
"26 to 45 years",9,9,2000,2000,2011
"15 years",0,4,1997,2001,2014
"20 to 30 years",18,18,2021,2021,2021
"12 years",9,14,2010,2015,2015
"20 years",11,14,2011,2014,2014
"95 years",10,10,2016,2016,2016
"Not sentenced",0,0,2015,2015,2015
"Death",0,8,1993,2002,2011
"1 year and 6 months",0,1,1991,1992,2012
"Life",0,26,1983,2009,2011
"Death",14,14,1996,1996,2011
"Not sentenced",0,0,2007,2008,2013
"31 years",12,12,2019,2019,2020
"10 to 15 years",12,16,2001,2006,2014
"36 to life",20,20,2015,2015,2015
"30 years",12,22,2008,2017,2017
"9 to 25 years",7,7,1997,1997,2011
"30 years",14,14,1998,1998,2011
"48 years",12,12,1999,1999,2011
"60 to 90 years",11,11,2002,2003,2011
"20 years",6,7,2014,2014,2018
"2 years",0,13,2007,2020,2023
"22 years",9,10,2002,2003,2011
"90 days",0,2,2014,2017,2017
"6 days",0,0,2015,2015,2016
"30 to 50 years",19,20,2017,2017,2017
"Death",20,20,2023,2023,2024
"15 to Life",12,12,2001,2001,2011
"55 years",21,21,2016,2016,2016
"1 year",3,3,1999,1999,2020
"7 years",3,5,1987,1989,2014
"7 years and 6 months",4,5,2012,2013,2013
"13 to 32 years",2,2,2017,2017,2017
"12 to 27 years",2,2,2016,2016,2016
"Life",1,1,2011,2011,2012
"6 years and 6 months",1,2,1996,1997,2014
"20 years",21,21,2009,2009,2012
"3 to 5 years",1,1,1990,1990,2016
"Life without parole",13,13,2014,2014,2014
"75 years",16,17,2004,2005,2011
"Life",3,3,2014,2014,2014
"25 to Life",3,3,1999,1999,2011
"Probation",0,4,2007,2011,2022
"Life",14,19,2001,2006,2011
"Life",3,31,1981,2010,2011
"Death",5,6,2008,2009,2011
"Probation",0,17,2005,2022,2022
"1 year",1,12,2007,2018,2018
"Not sentenced",0,0,1994,1994,2023
"90 years",3,3,2003,2003,2022
"76 years",9,9,2012,2012,2012
"12 years",1,1,2001,2001,2012
"15 to Life",9,9,2004,2004,2011
"2 years",0,0,2015,2015,2015
"7 to 15 years",3,3,1991,1991,2016
"Life without parole",15,15,2016,2016,2016
"50 years",21,21,2023,2023,2023
"Life",7,7,1996,1996,2011
"29 years",7,40,1980,2012,2016
"25 to life",8,34,1989,2015,2015
"15 to Life",12,12,2001,2001,2011
"4 years",0,2,2016,2018,2018
"6 months",0,0,2019,2019,2019
"45 years",21,29,2015,2023,2023
"12 1/2 to 25 years",9,9,1997,1997,2013
"10 to Life",4,4,1991,1991,2011
