"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"60 days",0,6,2009,2015,2015
"Life",15,15,2015,2015,2015
"Death",8,8,1993,1993,2011
"40 years",6,6,2014,2014,2014
"Probation",0,3,1992,1996,2015
"6 years",3,57,1967,2022,2022
"Life without parole",19,19,2016,2016,2016
"2 years and 6 months",0,15,2007,2022,2022
"48 years and 4 months",8,8,1999,1999,2011
"20 years",6,7,2014,2015,2015
"50 to Life",20,21,2021,2021,2021
"Not sentenced",0,3,2019,2022,2022
"Life without parole",35,36,2019,2019,2020
"Probation",0,13,2007,2021,2021
"10 to 25 years",15,17,2002,2005,2011
"9 years",4,7,1997,2000,2021
"Probation",0,24,1993,2017,2018
"25 years",5,6,2018,2019,2019
"15 to Life",5,5,2017,2017,2019
"20 to Life",7,7,1994,1995,2011
"65 years",23,23,2006,2006,2011
"8 years",18,18,2007,2007,2011
"5 to 10 years",2,3,1993,1993,2014
"45 years",19,21,2015,2018,2018
"Life",15,15,2001,2001,2014
"Life",32,32,2023,2023,2023
"Life",22,22,2013,2013,2013
"20 to Life",23,44,2001,2021,2021
"Probation",0,16,2005,2022,2022
"Life",13,13,2012,2013,2013
"82 years",22,22,2013,2013,2013
"12 1/2 to 25 years",16,16,2001,2001,2011
"20 to Life",25,25,2009,2009,2011
"12 years",5,13,1994,2001,2011
"4 years and 9 months",1,4,2018,2021,2021
"10 years",9,13,2006,2010,2011
"10 years",3,3,2003,2003,2013
"Probation",0,2,2010,2013,2013
"Probation",0,12,2008,2020,2021
"Probation",0,13,2008,2022,2022
"20 years",4,4,2017,2017,2017
"30 years",10,11,2002,2003,2011
"Life",4,4,2000,2000,2011
"6 years",2,13,2010,2022,2022
"25 years",12,12,2002,2002,2011
"20 years",2,2,1998,1998,2014
"Death",8,9,1990,1990,2011
"Life",10,14,2018,2021,2021
"20 to 40 years",7,7,1997,1997,2011
"8 years",3,3,1994,1994,2011
"2 years",0,13,2008,2022,2022
"2 years",0,17,2005,2022,2022
"15 years",15,23,2012,2021,2021
"Not sentenced",0,1,2017,2018,2018
"Death",12,12,2007,2008,2011
"Death",37,39,2012,2014,2014
"Life",24,25,2015,2016,2016
"17 years",5,5,2005,2006,2011
"Death",7,7,2004,2004,2011
"Life",26,26,2003,2003,2011
"60 years",7,7,2021,2021,2021
"Not sentenced",0,0,2002,2002,2011
"18 years",9,9,2008,2009,2011
"45 years",23,23,2006,2006,2011
"Not sentenced",0,0,2010,2010,2023
"18 to 42 years",2,2,1994,1994,2011
"30 years",9,9,2013,2013,2013
"25 to 30 3/4 years",4,4,2017,2017,2017
"50 years",18,18,2014,2014,2014
"8 1/3 to 25 years",16,39,1998,2021,2021
"Life",8,8,1998,1998,2011
"Not sentenced",0,0,1989,1989,2011
"Life",19,19,2014,2014,2015
"5 years",5,17,1998,2010,2011
"40 years",14,14,2002,2002,2011
"20 years",3,3,2003,2003,2022
"Life",34,34,2023,2023,2023
"Life without parole",42,44,2019,2022,2023
"6 months",0,3,2011,2014,2015
"22 years",8,13,2008,2013,2017
"Life without parole",16,16,2008,2008,2011
"6 months",0,0,2017,2017,2017
"4 years",2,7,2014,2019,2019
"18 years",4,4,2016,2016,2023
"Life without parole",35,35,2022,2022,2023
"Death",9,9,2015,2015,2015
"Life without parole",27,27,2017,2017,2017
"1 year and 2 months",1,3,2019,2021,2022
"6 years",1,1,2012,2012,2014
"Life",18,18,2001,2001,2011
"Life",15,17,2011,2013,2013
"Life",19,19,2004,2005,2011
"2 to 4 years",0,0,2017,2017,2017
"50 to Life",8,8,2022,2022,2022
"3 years",1,13,2009,2022,2022
"6 months",0,4,2012,2016,2022
"25 to Life",9,9,1989,1990,2011
"Life",26,28,2018,2020,2020
"5 to 6 3/4 years",3,6,2013,2016,2016
"35 years",4,6,1997,1999,2011
"Life without parole",8,11,2015,2018,2021
"Death",29,29,2014,2014,2014
"7 months",0,11,2012,2023,2023
"35 years",7,7,2018,2018,2018
"25 years",16,16,2014,2014,2014
"22 to 70 years",7,7,2010,2010,2012
"Life without parole",28,28,2023,2023,2023
"35 years",5,5,1989,1989,2011
"45 years",11,15,2017,2021,2022
"25 to Life",15,15,2007,2007,2011
"8 years and 4 months to 30 years",8,10,2019,2021,2021
"Death",26,26,2021,2021,2021
"Life",9,9,2003,2003,2011
"Life",8,8,2018,2018,2018
"10 to 35 years",8,29,2000,2022,2022
"Death",32,33,2019,2020,2020
"25 to life",23,25,2019,2020,2020
"Life without parole",5,5,2020,2020,2020
"9 to 40 years",12,27,2009,2023,2023
"Life",0,1,1999,2000,2011
"30 years",8,8,2015,2015,2015
"25 to Life",40,42,2017,2019,2019
"12 years",2,2,2000,2000,2013
"Life",16,16,2016,2016,2016
"85 years",16,20,1999,2003,2011
"50 to life",21,22,2017,2018,2018
"10 years and 3 months",3,4,2021,2022,2023
"Life without parole",5,9,2008,2012,2013
"Life",11,11,2010,2010,2012
"18 to Life",19,21,2022,2023,2023
"Life without parole",2,2,2021,2021,2021
"Not sentenced",0,0,1992,1992,2011
"60 years",10,10,1994,1994,2011
"12 to Life",1,2,2001,2002,2013
"Life",3,3,2022,2023,2023
"60 years",16,16,2012,2012,2012
"6 years",2,3,2010,2010,2013
"17 to 32 years",1,1,2016,2016,2016
"7 to life",16,25,2009,2018,2018
"50 years",20,20,2007,2007,2011
"Life without parole",6,6,1992,1992,2011
"Life",18,18,2014,2014,2014
"Life",24,24,2023,2023,2023
"Life",15,15,2017,2017,2018
"15 years",6,6,2017,2018,2019
"30 to life",24,26,2018,2020,2020
"20 years",8,29,1987,2009,2011
"Probation",0,0,2014,2015,2015
"11 years and 4 months",2,2,2016,2016,2016
"Life",4,4,2015,2015,2015
"Not sentenced",2,2,1994,1994,2014
"Death",13,13,2001,2001,2011
"32 years",17,21,2019,2024,2024
"Probation",0,2,1998,2001,2016
"3 years",2,2,2009,2009,2012
"Death",5,6,1994,1996,2011
"25 to Life",8,8,2002,2002,2011
"Life without parole",32,32,2019,2019,2019
"Life",23,23,2008,2008,2011
"15 to Life",17,27,2009,2019,2019
"20 years",15,16,2019,2019,2019
